,Close,High,Low,Open,Volume,roll_mean_5,roll_std_5,roll_mean_10,roll_std_10,roll_mean_20,roll_std_20,lag_1,lag_2,lag_3,lag_5,lag_7
2015-01-21,24.33745384216309,24.672911811933083,24.05308966122845,24.204157443783,194303600.0,24.007998085021974,0.2503127364701473,24.046764659881593,0.3285189965798949,24.13468117713928,0.4145182560065236,24.1530704498291,24.00144624710083,23.84982204437256,23.546573638916016,24.39299392700196
2015-01-22,24.97060775756836,24.986158779800352,24.37522310007527,24.495188855122496,215185600.0,24.262480068206788,0.43516136553332146,24.116744136810304,0.43787868992290396,24.168782567977907,0.4540178890494439,24.33745384216309,24.1530704498291,24.00144624710083,23.698197841644287,23.730972290039062
2015-01-23,25.099458694458008,25.27051992974988,24.77732797289847,24.94839090312455,185859200.0,24.51240739822388,0.49380914352879085,24.178059673309328,0.5288559642779075,24.22073073387146,0.4982586691219269,24.97060775756836,24.33745384216309,24.1530704498291,23.84982204437256,23.546573638916016
2015-01-24,25.108344395955402,25.27051992974988,24.77732797289847,24.94839090312455,185859200.0,24.73378702799479,0.4539836962522143,24.249594720204673,0.6041760211695049,24.284527413050334,0.52678956409518,25.099458694458008,24.97060775756836,24.33745384216309,24.00144624710083,23.698197841644287
2015-01-25,25.1172300974528,25.27051992974988,24.77732797289847,24.94839090312455,185859200.0,24.92661895751953,0.33476889938770965,24.388220500946044,0.6304239167175965,24.360172605514528,0.532566471512113,25.108344395955402,25.099458694458008,24.97060775756836,24.1530704498291,23.84982204437256
2015-01-26,25.126115798950195,25.40603586976341,25.05946929299839,25.268297045568367,222460000.0,25.084351348876954,0.06435601013158287,24.546174716949462,0.5928774952949663,24.436150789260864,0.5277651661955097,25.1172300974528,25.108344395955402,25.099458694458008,24.33745384216309,24.00144624710083
2015-01-27,24.24637031555176,24.988380334784807,24.22193275326079,24.97504967675884,382274800.0,24.939503860473632,0.387600766680567,24.600991964340214,0.5274995641678258,24.451590490341186,0.5168150313405533,25.126115798950195,25.1172300974528,25.108344395955402,24.97060775756836,24.1530704498291
2015-01-28,25.61708641052246,26.241352712133768,25.61708641052246,26.132493867924392,585908400.0,25.043029403686525,0.49519750858963724,24.7777184009552,0.5436677347922376,24.48957953453064,0.5730697787680096,24.24637031555176,25.126115798950195,25.1172300974528,25.099458694458008,24.33745384216309
2015-01-29,26.414634704589844,26.47906084545902,25.672624750212208,25.84146561266473,337745600.0,25.304287465413413,0.7931958253196502,25.019037246704105,0.6794376864409847,24.566113328933717,0.7135133389154461,25.61708641052246,24.24637031555176,25.126115798950195,25.108344395955402,24.97060775756836
2015-01-30,26.0280818939209,26.65901100753068,25.959211629596137,26.30355786641712,334982000.0,25.48645782470703,0.8425550703103001,25.206538391113284,0.6725924920324603,24.633538579940797,0.7849397975885757,26.414634704589844,25.61708641052246,24.24637031555176,25.1172300974528,25.099458694458008
